과목명,강사,url
Skill-Up! 배워서 바로 쓰는 웹쉘 제작,크리핵티브,https://www.inflearn.com/course/%EC%9B%B9%ED%95%B4%ED%82%B9-%EC%9B%B9%EC%89%98-%EC%A0%9C%EC%9E%91
"성공적인 SQL 인젝션 공격을 위한, SQL 기본 문법",크리핵티브,https://www.inflearn.com/course/SQL-%EC%9D%B8%EC%A0%9D%EC%85%98-%EA%B3%B5%EA%B2%A9-%EA%B8%B0%EB%B3%B8-%EB%AC%B8%EB%B2%95
웹 해킹과 모의해킹 현업에 대한 이야기,크리핵티브,https://www.inflearn.com/course/web-hacking-%EB%AA%A8%EC%9D%98-%ED%95%B4%ED%82%B9
해커를 위한 iOS 앱 모의 해킹 전문 과정,보안프로젝트,https://www.inflearn.com/course/ios-%EB%AA%A8%EB%B0%94%EC%9D%BC%EC%95%B1-%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9-%EC%9E%85%EB%AC%B8
Arm 아키텍처와 리눅스 커널 인터페이스 - 저자직강,김동현 (Austin Kim),https://www.inflearn.com/course/arm%EC%95%84%ED%82%A4%ED%85%8D%EC%B2%98-%EB%A6%AC%EB%88%85%EC%8A%A4%EC%BB%A4%EB%84%90-%EC%9D%B8%ED%84%B0%ED%8E%98%EC%9D%B4%EC%8A%A4
정보보안 패스파인더,제주코딩베이스캠프,https://www.inflearn.com/course/%EC%A0%95%EB%B3%B4%EB%B3%B4%EC%95%88-%ED%8C%A8%EC%8A%A4%ED%8C%8C%EC%9D%B8%EB%8D%94
실습으로 마스터하는 OAuth 2.0: 기본부터 보안 위험까지,한윤석,https://www.inflearn.com/course/%EC%8B%A4%EC%8A%B5%EC%9C%BC%EB%A1%9C-%EB%A7%88%EC%8A%A4%ED%84%B0%ED%95%98%EB%8A%94-oauth
"파일 업로드 취약점 고급 공격 기법 PART2-2 : 웹 방화벽 우회를 위한, 기본 지식과 테크닉",크리핵티브,https://www.inflearn.com/course/%ED%8C%8C%EC%9D%BC%EC%97%85%EB%A1%9C%EB%93%9C-%EC%B7%A8%EC%95%BD%EC%A0%90-%EA%B3%A0%EA%B8%89%EA%B3%B5%EA%B2%A9%EA%B8%B0%EB%B2%95-part2-2
"안전한 웹 사이트 제작을 위한, 웹 보안 원 포인트 레슨",크리핵티브,https://www.inflearn.com/course/%EC%9B%B9%EB%B3%B4%EC%95%88-%EC%95%88%EC%A0%84-%EC%9B%90%ED%8F%AC%EC%9D%B8%ED%8A%B8
"모의해킹 실무자가 알려주는, XSS 공격 기법",크리핵티브,https://www.inflearn.com/course/%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9-xss-%EA%B3%B5%EA%B2%A9%EA%B8%B0%EB%B2%95
"모의해킹 실무자가 알려주는, 파일 업로드 취약점 공격 기법과 실무 사례 분석 : PART 1",크리핵티브,https://www.inflearn.com/course/%ED%8C%8C%EC%9D%BC-%EC%97%85%EB%A1%9C%EB%93%9C-%EC%B7%A8%EC%95%BD%EC%A0%90-%EA%B3%B5%EA%B2%A9-1
"모의해킹 실무자가 알려주는, SQL Injection 공격 기법과 시큐어 코딩 : PART 1",크리핵티브,https://www.inflearn.com/course/sql-injection-secure-coding-1
시스템엔지니어 교과서,유똥,https://www.inflearn.com/course/%EC%8B%9C%EC%8A%A4%ED%85%9C-%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4-%EA%B5%90%EA%B3%BC%EC%84%9C
누구도 알려주지 않던 화이트 해커가 되기 위한 로드맵 A to Z,knockOn,https://www.inflearn.com/course/%ED%99%94%EC%9D%B4%ED%8A%B8-%ED%95%B4%EC%BB%A4-%EB%A1%9C%EB%93%9C%EB%A7%B5-a-to-z
DevSecOps SAST(/w GitLab),taesun1114,https://www.inflearn.com/course/devsecops-sast-gitlab
보안 전문가를 위한 파워쉘,보안프로젝트,https://www.inflearn.com/course/%EB%B3%B4%EC%95%88-%EC%A0%84%EB%AC%B8%EA%B0%80%EB%A5%BC-%EC%9C%84%ED%95%9C-%ED%8C%8C%EC%9B%8C%EC%89%98
